# Diameter = 4.93mm
# Force (N),Strain (-)
4130,0.258228883
4130,0.258228883
4130,0.259591281
4130,0.259591281
4130,0.259591281
4130,0.260953678
4130,0.260953678
4140,0.262316076
4140,0.262316076
4140,0.262316076
4140,0.263678474
4140,0.263678474
4140,0.265040872
4140,0.265040872
4150,0.265040872
4150,0.26640327
4150,0.26640327
4150,0.267765668
4150,0.267765668
4150,0.267765668
4150,0.269128065
4150,0.269128065
4160,0.270490463
4160,0.270490463
4160,0.270490463
4160,0.271852861
4160,0.271852861
4160,0.273215259
4160,0.273215259
4160,0.273215259
4170,0.274577657
4170,0.274577657
4170,0.275940054
4170,0.275940054
4170,0.275940054
4170,0.277302452
4170,0.277302452
4170,0.27866485
4180,0.27866485
4180,0.27866485
4180,0.280027248
4180,0.280027248
4180,0.281389646
4180,0.281389646
4180,0.281389646
4190,0.282752044
4180,0.282752044
4190,0.284114441
4190,0.284114441
4190,0.285476839
4190,0.285476839
4190,0.285476839
4190,0.286839237
4190,0.286839237
4190,0.288201635
4190,0.288201635
4200,0.288201635
4200,0.289564033
4200,0.289564033
4200,0.290926431
4200,0.290926431
4200,0.290926431
4200,0.292288828
4200,0.292288828
4200,0.293651226
4200,0.293651226
4200,0.293651226
4210,0.295013624
4210,0.295013624
4210,0.296376022
4210,0.296376022
4210,0.29773842
4210,0.29773842
4210,0.29773842
4210,0.299100817
4210,0.299100817
4210,0.300463215
4210,0.300463215
4220,0.300463215
4220,0.301825613
4220,0.301825613
4220,0.303188011
4220,0.303188011
4220,0.303188011
4220,0.304550409
4220,0.304550409
4220,0.305912807
4220,0.305912807
4220,0.307275204
4220,0.307275204
4230,0.307275204
4230,0.308637602
4230,0.308637602
4230,0.31
4230,0.31
4230,0.31
4230,0.311362398
4230,0.311362398
4230,0.312724796
4230,0.312724796
4230,0.314087193
4230,0.314087193
4230,0.314087193
4230,0.315449591
4240,0.315449591
4240,0.316811989
4240,0.316811989
4240,0.316811989
4240,0.318174387
4240,0.318174387
4240,0.319536785
4240,0.319536785
4240,0.319536785
4240,0.320899183
4240,0.320899183
4240,0.32226158
4240,0.32226158
4240,0.323623978
4240,0.323623978
4240,0.323623978
4240,0.324986376
4250,0.324986376
4250,0.326348774
4250,0.326348774
4250,0.326348774
4250,0.327711172
4250,0.327711172
4250,0.329073569
4250,0.329073569
4250,0.330435967
4250,0.330435967
4250,0.330435967
4250,0.331798365
4250,0.331798365
4250,0.333160763
4250,0.333160763
4250,0.333160763
4250,0.334523161
4250,0.334523161
4260,0.335885559
4260,0.335885559
4260,0.337247956
4260,0.337247956
4260,0.337247956
4260,0.338610354
4260,0.338610354
4260,0.339972752
4260,0.339972752
4260,0.339972752
4260,0.34133515
4260,0.34133515
4260,0.342697548
4260,0.342697548
4260,0.344059946
4260,0.344059946
4260,0.344059946
4260,0.345422343
4260,0.345422343
4260,0.346784741
4260,0.346784741
4260,0.346784741
4260,0.348147139
4260,0.348147139
4260,0.349509537
4270,0.349509537
4270,0.350871935
4270,0.350871935
4270,0.350871935
4270,0.352234332
4270,0.352234332
4270,0.35359673
4270,0.35359673
4270,0.35359673
4270,0.354959128
4270,0.354959128
4270,0.356321526
4270,0.356321526
4270,0.357683924
4270,0.357683924
4270,0.357683924
4270,0.359046322
4270,0.359046322
4270,0.360408719
4270,0.360408719
4270,0.360408719
4270,0.361771117
4270,0.361771117
4270,0.363133515
4270,0.363133515
4270,0.364495913
4270,0.364495913
4270,0.364495913
4270,0.365858311
4270,0.365858311
4270,0.367220708
4270,0.367220708
4270,0.367220708
4270,0.368583106
4270,0.368583106
4270,0.369945504
4270,0.369945504
4270,0.369945504
4270,0.371307902
4270,0.371307902
4270,0.3726703
4270,0.3726703
4270,0.374032698
4270,0.374032698
4270,0.374032698
4270,0.375395095
4270,0.375395095
4270,0.376757493
4270,0.376757493
4270,0.376757493
4270,0.378119891
4270,0.378119891
4270,0.379482289
4270,0.379482289
4270,0.379482289
4270,0.380844687
4270,0.380844687
4270,0.382207084
4270,0.382207084
4270,0.382207084
4280,0.383569482
4270,0.383569482
4270,0.38493188
4270,0.38493188
4270,0.38493188
4270,0.386294278
4270,0.386294278
4270,0.387656676
4270,0.387656676
4270,0.387656676
4270,0.389019074
4270,0.389019074
4270,0.389019074
4270,0.390381471
4270,0.390381471
4270,0.391743869
4270,0.391743869
4270,0.391743869
4270,0.393106267
4270,0.393106267
4270,0.393106267
4270,0.394468665
4270,0.394468665
4270,0.395831063
4270,0.395831063
4270,0.395831063
4270,0.39719346
4270,0.39719346
4270,0.39719346
4270,0.398555858
4270,0.398555858
4270,0.398555858
4270,0.399918256
4270,0.399918256
4270,0.399918256
4270,0.401280654
4270,0.401280654
4270,0.401280654
4270,0.402643052
4270,0.402643052
4270,0.402643052
4270,0.40400545
4270,0.40400545
4260,0.40400545
4260,0.405367847
4260,0.405367847
4260,0.405367847
4260,0.406730245
4260,0.406730245
4260,0.406730245
4260,0.408092643
4260,0.408092643
4260,0.408092643
4260,0.408092643
4260,0.409455041
4260,0.409455041
4260,0.409455041
4260,0.410817439
4250,0.410817439
4250,0.410817439
4250,0.410817439
4250,0.412179837
4250,0.412179837
4250,0.412179837
4250,0.412179837
4250,0.413542234
4250,0.413542234
4250,0.413542234
4250,0.413542234
4240,0.413542234
4240,0.414904632
4240,0.414904632
4240,0.414904632
4240,0.414904632
4240,0.414904632
4240,0.41626703
4240,0.41626703
4230,0.41626703
4230,0.41626703
4230,0.41626703
4230,0.41626703
4230,0.41626703
4230,0.417629428
4220,0.417629428
4220,0.417629428
4220,0.417629428
4220,0.417629428
4220,0.417629428
4220,0.417629428
4210,0.417629428
4210,0.418991826
4210,0.418991826
4210,0.418991826
4200,0.418991826
4200,0.418991826
4200,0.418991826
4200,0.418991826
4190,0.418991826
4190,0.418991826
4190,0.418991826
4190,0.418991826
4180,0.418991826
4180,0.418991826
4180,0.420354223
4170,0.420354223
4170,0.420354223
4170,0.420354223
4160,0.420354223
4160,0.420354223
4160,0.420354223
4150,0.420354223
4150,0.420354223
4140,0.420354223
4140,0.420354223
4140,0.420354223
4130,0.420354223
4130,0.420354223
4120,0.420354223
4120,0.420354223
4110,0.420354223
4110,0.420354223
4110,0.420354223
4100,0.420354223
4100,0.420354223
4090,0.420354223
4090,0.420354223
4080,0.420354223
4080,0.420354223
4070,0.420354223
4060,0.420354223
4060,0.420354223
4050,0.420354223
4050,0.420354223
4040,0.420354223
4040,0.420354223
4030,0.420354223
4020,0.420354223
4020,0.420354223
4010,0.420354223
4000,0.420354223
4000,0.420354223
3990,0.420354223
3980,0.420354223
3980,0.420354223
3970,0.420354223
3960,0.420354223
3950,0.420354223
3950,0.420354223
3940,0.420354223
3930,0.420354223
3920,0.420354223
3920,0.420354223
3910,0.420354223
3900,0.420354223
3890,0.420354223
3880,0.420354223
3870,0.420354223
3870,0.420354223
3860,0.420354223
3850,0.420354223
3840,0.420354223
3830,0.420354223
3820,0.420354223
3810,0.420354223
3800,0.420354223
3790,0.420354223
3780,0.420354223
3770,0.420354223
3760,0.420354223
3750,0.420354223
3740,0.420354223
3730,0.420354223
3720,0.420354223
3710,0.420354223
3700,0.420354223
3690,0.420354223
3680,0.420354223
3670,0.420354223
3650,0.420354223
3640,0.420354223
3630,0.420354223
3620,0.420354223
3610,0.420354223
3590,0.420354223
3580,0.420354223
3570,0.420354223
3560,0.420354223
3540,0.420354223
3530,0.420354223
3520,0.420354223
3500,0.420354223
3490,0.420354223
3480,0.420354223
3460,0.420354223
3450,0.420354223
3430,0.420354223
3420,0.420354223
3400,0.420354223
3390,0.420354223
3370,0.420354223
3360,0.420354223
3340,0.420354223
3330,0.420354223
3310,0.420354223
3300,0.420354223
3280,0.420354223
3260,0.420354223
3250,0.420354223
3230,0.420354223
3210,0.420354223
3200,0.420354223
3180,0.420354223
3160,0.420354223
3140,0.420354223
3120,0.420354223
3100,0.420354223
3090,0.420354223
3070,0.420354223
3050,0.420354223
3030,0.420354223
3010,0.420354223
2990,0.420354223
2960,0.420354223
2940,0.420354223
2920,0.420354223
2900,0.420354223
2880,0.418991826
2850,0.418991826
2830,0.418991826
2800,0.418991826
2760,0.418991826
2330,0.418991826
2070,0.418991826
1640,0.418991826
1370,0.417629428
4.26,0.406730245
3.85,0.406730245
4.85,0.406730245
